lr-SGD,step,train_loss,epoch,val_loss,val_acc,test_loss,test_acc
0.004515908472708802,49,,,,,,
,49,1.7899394035339355,0,,,,
0.006094337346443185,99,,,,,,
,99,1.662821888923645,0,,,,
0.00870017525534593,149,,,,,,
,149,1.5723909139633179,0,,,,
,156,,0,1.6003135442733765,0.4487000107765198,,
0.012275101259100904,199,,,,,,
,199,1.2241631746292114,1,,,,
0.01673910537497382,249,,,,,,
,249,1.2506276369094849,1,,,,
0.02199227927147432,299,,,,,,
,299,1.1885799169540405,1,,,,
,313,,1,1.7488012313842773,0.45750001072883606,,
0.0279170523045338,349,,,,,,
,349,1.081584095954895,2,,,,
0.034380822851746165,399,,,,,,
,399,0.9827690124511719,2,,,,
0.04123892605310105,449,,,,,,
,449,0.9235446453094482,2,,,,
,470,,2,1.5084675550460815,0.5636000037193298,,
0.048337871537565906,499,,,,,,
,499,0.8927042484283447,3,,,,
0.055518778672353684,549,,,,,,
,549,0.9701178073883057,3,,,,
0.06262093245098105,599,,,,,,
,599,0.8370591998100281,3,,,,
,627,,3,0.9435499310493469,0.6790000200271606,,
0.06948538043622075,649,,,,,,
,649,0.732268750667572,4,,,,
0.0759584902552062,699,,,,,,
,699,0.6863365173339844,4,,,,
0.08189538802682489,749,,,,,,
,749,0.7090201377868652,4,,,,
,784,,4,0.8984057903289795,0.6944000124931335,,
0.08716320076637632,799,,,,,,
,799,0.6352064609527588,5,,,,
0.09164403019963155,849,,,,,,
,849,0.6922305822372437,5,,,,
0.09523759142972464,899,,,,,,
,899,0.5370359420776367,5,,,,
,941,,5,0.6713148355484009,0.7689999938011169,,
0.09786345740119423,949,,,,,,
,949,0.5738580226898193,6,,,,
0.09946285892809936,999,,,,,,
,999,0.7535304427146912,6,,,,
0.1,1049,,,,,,
,1049,0.6307382583618164,6,,,,
,1098,,6,0.8649297952651978,0.7427999973297119,,
0.09989727004843828,1099,,,,,,
,1099,0.5023304224014282,7,,,,
0.09958950233315954,1149,,,,,,
,1149,0.418349951505661,7,,,,
0.09907796153772187,1199,,,,,,
,1199,0.3922109007835388,7,,,,
0.09836474969297887,1249,,,,,,
,1249,0.4948692321777344,7,,,,
,1255,,7,0.6777541637420654,0.7749000191688538,,
0.09745279753938403,1299,,,,,,
,1299,0.46486786007881165,8,,,,
0.09634585248394963,1349,,,,,,
,1349,0.4502467215061188,8,,,,
0.09504846320134738,1399,,,,,,
,1399,0.38388359546661377,8,,,,
,1412,,8,0.5668574571609497,0.8147000074386597,,
0.09356596094242865,1449,,,,,,
,1449,0.4085367023944855,9,,,,
0.09190443762697105,1499,,,,,,
,1499,0.511138379573822,9,,,,
0.09007072081067347,1549,,,,,,
,1549,0.34787195920944214,9,,,,
,1569,,9,0.7170594930648804,0.7656000256538391,,
0.08807234562926505,1599,,,,,,
,1599,0.4318315088748932,10,,,,
0.08591752383501637,1649,,,,,,
,1649,0.3918464481830597,10,,,,
0.0836151100528878,1699,,,,,,
,1699,0.4379402697086334,10,,,,
,1726,,10,0.5015513300895691,0.833299994468689,,
0.0811745653949763,1749,,,,,,
,1749,0.4149002730846405,11,,,,
0.07860591858277646,1799,,,,,,
,1799,0.47685369849205017,11,,,,
0.07591972473701261,1849,,,,,,
,1849,0.3307921886444092,11,,,,
,1883,,11,0.5477763414382935,0.8270999789237976,,
0.07312702200438372,1899,,,,,,
,1899,0.38334953784942627,12,,,,
0.07023928619945106,1949,,,,,,
,1949,0.30460265278816223,12,,,,
0.0672683836480545,1999,,,,,,
,1999,0.4568900763988495,12,,,,
,2040,,12,0.5288046598434448,0.8288000226020813,,
0.0642265224260343,2049,,,,,,
,2049,0.26023998856544495,13,,,,
0.06112620219362893,2099,,,,,,
,2099,0.2749500274658203,13,,,,
0.057980162831689955,2149,,,,,,
,2149,0.28698450326919556,13,,,,
,2197,,13,0.4845222532749176,0.8400999903678894,,
0.054801332090778906,2199,,,,,,
,2199,0.3187901973724365,14,,,,
0.051602772468267256,2249,,,,,,
,2249,0.21216434240341187,14,,,,
0.048397627531732754,2299,,,,,,
,2299,0.3060368597507477,14,,,,
0.0451990679092211,2349,,,,,,
,2349,0.26411208510398865,14,,,,
,2354,,14,0.41290634870529175,0.8668000102043152,,
0.042020237168310055,2399,,,,,,
,2399,0.20098233222961426,15,,,,
0.03887419780637107,2449,,,,,,
,2449,0.2782860994338989,15,,,,
0.035773877573965704,2499,,,,,,
,2499,0.31683963537216187,15,,,,
,2511,,15,0.4055236577987671,0.8712000250816345,,
0.03273201635194551,2549,,,,,,
,2549,0.26509299874305725,16,,,,
0.029761113800548935,2599,,,,,,
,2599,0.20931681990623474,16,,,,
0.026873377995616298,2649,,,,,,
,2649,0.1946326643228531,16,,,,
,2668,,16,0.3824363052845001,0.8745999932289124,,
0.024080675262987412,2699,,,,,,
,2699,0.20634253323078156,17,,,,
0.021394481417223554,2749,,,,,,
,2749,0.17922213673591614,17,,,,
0.0188258346050237,2799,,,,,,
,2799,0.12773357331752777,17,,,,
,2825,,17,0.3456115126609802,0.8891000151634216,,
0.016385289947112216,2849,,,,,,
,2849,0.15846335887908936,18,,,,
0.014082876164983646,2899,,,,,,
,2899,0.11020529270172119,18,,,,
0.011928054370734954,2949,,,,,,
,2949,0.13678883016109467,18,,,,
,2982,,18,0.30795615911483765,0.9053000211715698,,
0.009929679189326548,2999,,,,,,
,2999,0.0978458821773529,19,,,,
0.008095962373028948,3049,,,,,,
,3049,0.08644549548625946,19,,,,
0.006434439057571355,3099,,,,,,
,3099,0.09100587666034698,19,,,,
,3139,,19,0.2650294303894043,0.9147999882698059,,
,3140,,20,,,0.30113252997398376,0.9053000211715698
